Cód.,Persona ID,Persona,CUIT/CUIL/CDI,MC Cód.,MC,Tipo Cuenta,Entidad Bursátil
85400,197325,FINARES S.A.,30710129173,10,FINARES S.A.,Propia,MtR
1010,197325,FINARES S.A.,30710129173,10,FINARES S.A.,Terceros,MtR
1100,5123,KIMEI CEREALES SA,30709540714,100,KIMEI CEREALES SA,Terceros,MtR
141620,5123,KIMEI CEREALES SA,30709540714,100,KIMEI CEREALES SA,Propia,MtR
1105,1807,MEGATENDENCIAS S.A.,30676604509,105,MEGATENDENCIAS S.A.,Terceros,MtR
4107,1807,MEGATENDENCIAS S.A.,30676604509,105,MEGATENDENCIAS S.A.,Propia,MtR
1106,1,ROFEX  INVERSORA S.A.,30528994012,106,ROFEX  INVERSORA S.A.,Terceros,MtR
4100,1,ROFEX  INVERSORA S.A.,30528994012,106,ROFEX  INVERSORA S.A.,Propia,MtR
11575,13003,INVESTIS ASSET MANAGEMENT S.A.S.G.F.C.I.,30697265410,106,ROFEX  INVERSORA S.A.,CEL,MtR
4350,2001,LOS GROBO AGROPECUARIA SA,30604456475,108,LOS GROBO AGROPECUARIA SA,Propia,MtR
1109,2144,CURCIJA SOCIEDAD ANONIMA,30593247739,109,CURCIJA SOCIEDAD ANONIMA,Terceros,MtR
4529,2144,CURCIJA SOCIEDAD ANONIMA,30593247739,109,CURCIJA SOCIEDAD ANONIMA,Propia,MtR
1011,3663,BANCO CREDICOOP COOPERATIVO LTDO,30571421352,11,BANCO CREDICOOP COOPERATIVO LTDO,Terceros,MtR
89000,3663,BANCO CREDICOOP COOPERATIVO LTDO,30571421352,11,BANCO CREDICOOP COOPERATIVO LTDO,Propia,MtR
45374,8138,A.C. INVERSORA S.A.,30707265414,110,A.C. INVERSORA S.A.,Propia,MtR
1110,8138,A.C. INVERSORA S.A.,30707265414,110,A.C. INVERSORA S.A.,Terceros,MtR
1221,1,ROFEX  INVERSORA S.A.,30528994012,110,A.C. INVERSORA S.A.,CEL,MtR
60010,31604,QM ASSET MANAGEMENT SOCIEDAD GERENTE DE FCI SA,33709965579,110,A.C. INVERSORA S.A.,CEL,MtR
60013,2576,COHEN S.A.,30558543317,110,A.C. INVERSORA S.A.,CEL,MtR
60014,42309,ZOFINGEN INVESTMENT SA,30546826321,110,A.C. INVERSORA S.A.,CEL,MtR
60015,4319,STONEX ASSET MANAGEMENT SA,30693764943,110,A.C. INVERSORA S.A.,CEL,MtR
1116,24758,SISTEMAS ESCO SA,33646674099,116,SISTEMAS ESCO SA,Terceros,MtR
1117,45327,VETA CAPITAL S.A.,30715828304,117,VETA CAPITAL S.A.,Terceros,MtR
80500,45327,VETA CAPITAL S.A.,30715828304,117,VETA CAPITAL S.A.,Propia,MtR
1118,936726,EDUARDO D REYNOLDS SRL,33662019319,118,EDUARDO D REYNOLDS SRL,Terceros,MtR
141690,936726,EDUARDO D REYNOLDS SRL,33662019319,118,EDUARDO D REYNOLDS SRL,Propia,MtR
1119,63,LDC ARGENTINA S.A.,30526712729,119,LDC ARGENTINA S.A.,Terceros,MtR
141735,63,LDC ARGENTINA S.A.,30526712729,119,LDC ARGENTINA S.A.,Propia,MtR
1123,24964,COLOMBO Y MAGLIANO SA AGRICOLA GANADERA Y COMERCIAL,30520760535,123,COLOMBO Y MAGLIANO SA AGRICOLA GANADERA Y COMERCIAL,Terceros,MtR
141861,24964,COLOMBO Y MAGLIANO SA AGRICOLA GANADERA Y COMERCIAL,30520760535,123,COLOMBO Y MAGLIANO SA AGRICOLA GANADERA Y COMERCIAL,Propia,MtR
1124,5280,PANAGRICOLA SA,30535175663,124,PANAGRICOLA SA,Terceros,MtR
141900,5280,PANAGRICOLA SA,30535175663,124,PANAGRICOLA SA,Propia,MtR
1125,4654,C & S SRL,30709827711,125,C & S SRL,Terceros,MtR
7666,4654,C & S SRL,30709827711,125,C & S SRL,Propia,MtR
1126,4041,REGION CENTRO AGROPECUARIA SA,30707887636,126,REGION CENTRO AGROPECUARIA SA,Terceros,MtR
9722,4041,REGION CENTRO AGROPECUARIA SA,30707887636,126,REGION CENTRO AGROPECUARIA SA,Propia,MtR
1128,6425,VERGARA Y CIA SRL,30608359032,128,VERGARA Y CIA SRL,Terceros,MtR
9822,6425,VERGARA Y CIA SRL,30608359032,128,VERGARA Y CIA SRL,Propia,MtR
1131,1932,DIAZ RIGANTI CEREALES SRL,30551518694,131,DIAZ RIGANTI CEREALES SRL,Terceros,MtR
9980,1932,DIAZ RIGANTI CEREALES SRL,30551518694,131,DIAZ RIGANTI CEREALES SRL,Propia,MtR
1133,4088,AGROBROKERS S R L,30708123753,133,AGROBROKERS S R L,Terceros,MtR
9954,4088,AGROBROKERS S R L,30708123753,133,AGROBROKERS S R L,Propia,MtR
1136,6561,DILLON WILLIAM SRL,30711263787,136,DILLON WILLIAM SRL,Terceros,MtR
2108,6561,DILLON WILLIAM SRL,30711263787,136,DILLON WILLIAM SRL,Propia,MtR
1144,3749,G Y T PLUS SA,30708777079,144,G Y T PLUS SA,Terceros,MtR
2242,3749,G Y T PLUS SA,30708777079,144,G Y T PLUS SA,Propia,MtR
1145,3787,COMPA#IA AGRARIA  S.A.,30698285202,145,COMPA#IA AGRARIA  S.A.,Terceros,MtR
6665,3787,COMPA#IA AGRARIA  S.A.,30698285202,145,COMPA#IA AGRARIA  S.A.,Propia,MtR
1146,4100,SESNICH - VILLALONGA CEREALES SA,30709014370,146,SESNICH - VILLALONGA CEREALES SA,Terceros,MtR
7481,4100,SESNICH - VILLALONGA CEREALES SA,30709014370,146,SESNICH - VILLALONGA CEREALES SA,Propia,MtR
1149,7128,OLICER CEREALES S.A.,30703563402,149,OLICER CEREALES S.A.,Terceros,MtR
1151,8489,COOPERATIVA  AGROPECUARIA DE ACOPIADORES FEDERADOS LIMITADA,33711586739,151,COOPERATIVA  AGROPECUARIA DE ACOPIADORES FEDERADOS LIMITADA,Terceros,MtR
4108,8489,COOPERATIVA  AGROPECUARIA DE ACOPIADORES FEDERADOS LIMITADA,33711586739,151,COOPERATIVA  AGROPECUARIA DE ACOPIADORES FEDERADOS LIMITADA,Propia,MtR
1152,6632,GARDEL TRADING  S.A.,30711150095,152,GARDEL TRADING  S.A.,Terceros,MtR
4318,6632,GARDEL TRADING  S.A.,30711150095,152,GARDEL TRADING  S.A.,Propia,MtR
1155,6563,FUTUROS Y OPCIONES.COM SA,30703605105,155,FUTUROS Y OPCIONES.COM SA,Terceros,MtR
10939,6563,FUTUROS Y OPCIONES.COM SA,30703605105,155,FUTUROS Y OPCIONES.COM SA,Propia,MtR
